Arrival-Time,casualties
0,200
0,202
0,202
0,206
0,203
50,1109
50,1073
50,1037
50,1044
50,1113
100,1100
100,1100
100,1128
100,1091
100,1106
150,1067
150,1119
150,1141
150,1169
150,1095
200,1036
200,1117
200,1129
200,1099
200,1093
250,1039
250,1057
250,1065
250,1049
250,1088
300,1105
300,1066
300,1043
300,1048
300,1062
350,1106
350,1070
350,1022
350,1024
350,1064
400,1088
400,1076
400,1063
400,1072
400,1064
450,1071
450,1019
450,1096
450,1092
450,1089
500,1025
500,1100
500,1042
500,1095
500,1063
550,1025
550,1099
550,1047
550,1102
550,1074
600,1085
600,1070
600,1043
600,1045
600,1007
650,1068
650,1116
650,1054
650,999
650,1002
700,1066
700,1067
700,1069
700,1116
700,1093
